,date,locale,locale_name,description
14,2012-08-10,National,Ecuador,Primer Grito de Independencia
19,2012-10-09,National,Ecuador,Independencia de Guayaquil
20,2012-10-12,National,Ecuador,Traslado Independencia de Guayaquil
21,2012-11-02,National,Ecuador,Dia de Difuntos
22,2012-11-03,National,Ecuador,Independencia de Cuenca
28,2012-12-05,Local,Quito,Fundacion de Quito-1
29,2012-12-06,Local,Quito,Fundacion de Quito
31,2012-12-21,National,Ecuador,Navidad-4
33,2012-12-22,National,Ecuador,Navidad-3
34,2012-12-23,National,Ecuador,Navidad-2
35,2012-12-24,National,Ecuador,Puente Navidad
36,2012-12-24,National,Ecuador,Navidad-1
37,2012-12-25,National,Ecuador,Navidad
38,2012-12-26,National,Ecuador,Navidad+1
39,2012-12-31,National,Ecuador,Puente Primer dia del ano
40,2012-12-31,National,Ecuador,Primer dia del ano-1
41,2013-01-01,National,Ecuador,Primer dia del ano
42,2013-01-05,National,Ecuador,Recupero puente Navidad
43,2013-01-12,National,Ecuador,Recupero puente primer dia del ano
44,2013-02-11,National,Ecuador,Carnaval
45,2013-02-12,National,Ecuador,Carnaval
51,2013-04-29,National,Ecuador,Viernes Santo
52,2013-05-01,National,Ecuador,Dia del Trabajo
53,2013-05-11,National,Ecuador,Dia de la Madre-1
55,2013-05-12,National,Ecuador,Dia de la Madre
56,2013-05-24,National,Ecuador,Batalla de Pichincha
67,2013-08-10,National,Ecuador,Primer Grito de Independencia
72,2013-10-09,National,Ecuador,Independencia de Guayaquil
73,2013-10-11,National,Ecuador,Traslado Independencia de Guayaquil
74,2013-11-02,National,Ecuador,Dia de Difuntos
75,2013-11-03,National,Ecuador,Independencia de Cuenca
81,2013-12-05,Local,Quito,Fundacion de Quito-1
82,2013-12-06,Local,Quito,Fundacion de Quito
84,2013-12-21,National,Ecuador,Navidad-4
85,2013-12-22,National,Ecuador,Navidad-3
87,2013-12-23,National,Ecuador,Navidad-2
88,2013-12-24,National,Ecuador,Navidad-1
89,2013-12-25,National,Ecuador,Navidad
90,2013-12-26,National,Ecuador,Navidad+1
91,2013-12-31,National,Ecuador,Primer dia del ano-1
92,2014-01-01,National,Ecuador,Primer dia del ano
94,2014-03-03,National,Ecuador,Carnaval
95,2014-03-04,National,Ecuador,Carnaval
99,2014-04-18,National,Ecuador,Viernes Santo
101,2014-05-01,National,Ecuador,Dia del Trabajo
102,2014-05-10,National,Ecuador,Dia de la Madre-1
103,2014-05-11,National,Ecuador,Dia de la Madre
105,2014-05-24,National,Ecuador,Batalla de Pichincha
106,2014-06-12,National,Ecuador,Inauguracion Mundial de futbol Brasil
107,2014-06-15,National,Ecuador,Mundial de futbol Brasil: Ecuador-Suiza
108,2014-06-20,National,Ecuador,Mundial de futbol Brasil: Ecuador-Honduras
113,2014-06-25,National,Ecuador,Mundial de futbol Brasil: Ecuador-Francia
114,2014-06-28,National,Ecuador,Mundial de futbol Brasil: Octavos de Final
115,2014-06-29,National,Ecuador,Mundial de futbol Brasil: Octavos de Final
116,2014-06-30,National,Ecuador,Mundial de futbol Brasil: Octavos de Final
117,2014-07-01,National,Ecuador,Mundial de futbol Brasil: Octavos de Final
120,2014-07-04,National,Ecuador,Mundial de futbol Brasil: Cuartos de Final
121,2014-07-05,National,Ecuador,Mundial de futbol Brasil: Cuartos de Final
122,2014-07-08,National,Ecuador,Mundial de futbol Brasil: Semifinales
123,2014-07-09,National,Ecuador,Mundial de futbol Brasil: Semifinales
124,2014-07-12,National,Ecuador,Mundial de futbol Brasil: Tercer y cuarto lugar
125,2014-07-13,National,Ecuador,Mundial de futbol Brasil: Final
