,unit_sales,year,month,day,day_of_week,is_holiday,dcoilwtico,is_payday,is_earthquake
2013-01-02,582.0,2013,1,2,2,0,93.14,0,0
2013-01-03,310.0,2013,1,3,3,0,92.97,0,0
2013-01-04,338.0,2013,1,4,4,0,93.12,0,0
2013-01-05,654.0,2013,1,5,5,1,93.12,0,0
2013-01-06,979.0,2013,1,6,6,0,93.12,0,0
2013-01-07,541.0,2013,1,7,0,0,93.2,0,0
2013-01-08,434.0,2013,1,8,1,0,93.21,0,0
2013-01-09,593.0,2013,1,9,2,0,93.08,0,0
2013-01-10,700.0,2013,1,10,3,0,93.81,0,0
2013-01-11,726.0,2013,1,11,4,0,93.6,0,0
2013-01-12,631.0,2013,1,12,5,1,93.6,0,0
2013-01-13,679.0,2013,1,13,6,0,93.6,0,0
2013-01-14,683.0,2013,1,14,0,0,94.27,0,0
2013-01-15,547.0,2013,1,15,1,0,93.26,1,0
2013-01-16,265.0,2013,1,16,2,0,94.28,0,0
2013-01-17,4.0,2013,1,17,3,0,95.49,0,0
2013-01-18,60.0,2013,1,18,4,0,95.61,0,0
2013-01-19,667.0,2013,1,19,5,0,95.61,0,0
2013-01-20,1090.0,2013,1,20,6,0,95.61,0,0
2013-01-21,760.0,2013,1,21,0,0,95.61,0,0
2013-01-22,461.0,2013,1,22,1,0,96.09,0,0
2013-01-23,413.0,2013,1,23,2,0,95.06,0,0
2013-01-24,326.0,2013,1,24,3,0,95.35,0,0
2013-01-25,389.0,2013,1,25,4,0,95.15,0,0
2013-01-26,697.0,2013,1,26,5,0,95.15,0,0
2013-01-27,616.0,2013,1,27,6,0,95.15,0,0
2013-01-28,318.0,2013,1,28,0,0,95.95,0,0
2013-01-29,393.0,2013,1,29,1,0,97.62,0,0
2013-01-30,487.0,2013,1,30,2,0,97.98,0,0
2013-01-31,282.0,2013,1,31,3,0,97.65,1,0
2013-02-01,401.0,2013,2,1,4,0,97.46,0,0
2013-02-02,775.0,2013,2,2,5,0,97.46,0,0
2013-02-03,855.0,2013,2,3,6,0,97.46,0,0
2013-02-04,411.0,2013,2,4,0,0,96.21,0,0
